ps3 sprite file, source image, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match
, re_se_ka_a1, 5, 83%, 5:sprite/normal/re1a_kaii_a1_, 1:portrait/normal/re1a_kaii_a1_, , , , , , , , , , , 
, me_se_aw_b1, 5, 100%, 5:sprite/normal/me1b_akuwarai_a1_, , , , , , , , , , , , 
, me_se_fu_a1, 5, 100%, 5:sprite/normal/me1a_huteki_a1_, , , , , , , , , , , , 
, me_ta_wa_a2, 5, 100%, 5:sprite/normal/me3_warai_a1_, , , , , , , , , , , , 
, ri_ta_de_a1, 5, 100%, 5:sprite/normal/ri3_def_a1_, , , , , , , , , , , , 
, re_si_bi_a1, 5, 71%, 5:sprite/normal/re2a_bikkuri_a1_, 1:sprite/night/re2a_bikkuri_a1_, 1:portrait/night/re2a_bikkuri_a1_, , , , , , , , , , 
, re_si_bi_b1, 5, 71%, 5:sprite/normal/re2b_bikkuri_b1_, 2:sprite/night/re2b_bikkuri_b1_, , , , , , , , , , , 
, ri_mk_ko_a1, 5, 83%, 5:sprite/normal/ri5_komaru_a1_, 1:sprite/night/ri5_komaru_a1_, , , , , , , , , , , 
, me_si_aw_a2, 5, 83%, 5:sprite/normal/me2_akuwarai_a1_, 1:sprite/night/me2_akuwarai_a1_, , , , , , , , , , , 
, re_si_ko_a1, 5, 62%, 5:sprite/normal/re2a_komaru_a1_, 1:sprite/night/re2a_komaru_a2_, 1:sprite/normal/re2a_komaru_a2_, 1:portrait/night/re2a_komaru_a1_, , , , , , , , , 
, re_se_hi_a1, 5, 71%, 5:portrait/normal/re1a_hig_def_a1_, 1:sprite/normal/re1a_hig_def_a1_, 1:sprite/flashback/re1a_hig_def_a1_, , , , , , , , , , 
, me_se_wa_b2, 5, 100%, 5:sprite/normal/me1b_warai_a1_, , , , , , , , , , , , 
, me_si_ma_a2, 5, 50%, 5:sprite/normal/me2_majime_a1_, 3:sprite/night/me2_majime_a1_, 1:sprite/sunset/me2_majime_a1_, 1:portrait/normal/me2_majime_a1_, , , , , , , , , 
, ri_si_ko_a1, 4, 31%, 4:portrait/sunset/rim_komaru_, 4:sprite/normal/ri2_komaru_a1_, 3:sprite/sunset/rim_komaru_, 1:portrait/normal/rim_komaru_, 1:portrait/night/rim_komaru_, , , , , , , , 
, oi_si_aw_a1, 4, 100%, 4:sprite/normal/oisi1_5_, , , , , , , , , , , , 
, me_se_ma_a1, 4, 100%, 4:sprite/normal/me1a_majime_a1_, , , , , , , , , , , , 
, sa_se_hn_a1, 4, 80%, 4:sprite/normal/sa1a_hannbeso_a1_, 1:portrait/normal/sa1a_naku_a1_, , , , , , , , , , , 
