ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Ta_Ikari2#,sprite/ta1_iradachi_,3,43%,3:sprite/ta1_iradachi_,2:sprite/ta1_sakebi_,1:sprite/ta1_akuwarai_,1:sprite/ta1_human_,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Komaru+,sprite/ta2_iradachi_,1,100%,1:sprite/ta2_iradachi_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Komaru,sprite/ta5_human_,3,50%,3:sprite/ta5_human_,2:sprite/ta5_sakebi_,1:sprite/ta3_iradachi_,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Komaru#,sprite/ta1_human_,4,57%,4:sprite/ta1_human_,2:sprite/ta1_iradachi_,1:sprite/ta1_kanashimi_,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Komaru2,sprite/ta3_human_,1,50%,1:sprite/ta3_human_,1:sprite/ta5_iradachi_,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Komaru2#,sprite/ta1_human_,3,60%,3:sprite/ta1_human_,1:sprite/ta1_iradachi_,1:sprite/ta1_kanashimi_,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Tukare+,sprite/ta2_kanashimi_,1,100%,1:sprite/ta2_kanashimi_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Tukare#,sprite/ta1_iradachi_,2,50%,2:sprite/ta1_iradachi_,2:sprite/ta1_kanashimi_,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Warai+,sprite/ta2_warai_,25,100%,25:sprite/ta2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_Warai#,sprite/ta1_warai_,59,100%,59:sprite/ta1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_def+,sprite/ta2_def_,2,100%,2:sprite/ta2_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_def#,sprite/ta1_def_,3,100%,3:sprite/ta1_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_ikari#,sprite/ta1_sakebi_,1,100%,1:sprite/ta1_sakebi_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_komaru#,sprite/ta1_human_,1,100%,1:sprite/ta1_human_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_warai+,sprite/ta2_warai_,1,100%,1:sprite/ta2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ta_warai#,sprite/ta1_warai_,3,100%,3:sprite/ta1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetu1,sprite/tetu_1_,8,100%,8:sprite/tetu_1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetu2,sprite/tetu_2_,6,100%,6:sprite/tetu_2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetu3,sprite/tetu_3_,5,100%,5:sprite/tetu_3_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tie1,sprite/tie_1_,35,92%,35:sprite/tie_1_,2:sprite/tie_2_,1:sprite/tie_3_,,,,,,,,,,,,,,,,,,,,,,,,
,Tie2,sprite/tie_2_,16,94%,16:sprite/tie_2_,1:sprite/tie_1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Tie3,sprite/tie_3_,24,100%,24:sprite/tie_3_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Def,sprite/tomi2_def_,12,100%,12:sprite/tomi2_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Def#,sprite/tomi1_def_,32,91%,32:sprite/tomi1_def_,3:sprite/tomi3_def_,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Ikari#,sprite/tomi3_ikari_,2,100%,2:sprite/tomi3_ikari_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Komaru,sprite/tomi2_komaru_,5,100%,5:sprite/tomi2_komaru_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Komaru#,sprite/tomi1_komaru_,27,100%,27:sprite/tomi1_komaru_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Majime#,sprite/tomi1_shinken_,10,83%,10:sprite/tomi1_shinken_,1:sprite/iri1_majime_,1:sprite/tomi3_shinken_,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Odoroki#,sprite/tomi1_komaru_,8,80%,8:sprite/tomi1_komaru_,1:sprite/tomi1_shinken_,1:sprite/tomi3_komaru_,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Warai,sprite/tomi2_warai_,8,100%,8:sprite/tomi2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_Warai#,sprite/tomi1_warai_,20,95%,20:sprite/tomi1_warai_,1:sprite/tomi3_warai_,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_def#,sprite/tomi1_def_,2,100%,2:sprite/tomi1_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_majime,sprite/tomi2_shinken_,1,100%,1:sprite/tomi2_shinken_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tomi_majime#,sprite/tomi1_shinken_,4,80%,4:sprite/tomi1_shinken_,1:sprite/tomi3_ikari_,,,,,,,,,,,,,,,,,,,,,,,,,
,aka_Def,sprite/aka_def_,1,100%,1:sprite/aka_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_hk_de_a1,sprite/iri2_def1_,20,100%,20:sprite/iri2_def1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_hk_de_a2,sprite/iri2_def2_,11,100%,11:sprite/iri2_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_hk_ma_a1,sprite/iri2_majime_,16,94%,16:sprite/iri2_majime_,1:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_hk_ma_a2,sprite/iri2_majime2_,4,100%,4:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_hk_wa_a1,sprite/iri2_warai_,6,100%,6:sprite/iri2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_si_de_a1,sprite/iri1_def1_,27,96%,27:sprite/iri1_def1_,1:sprite/iri1_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_si_de_a2,sprite/iri1_def2_,26,96%,26:sprite/iri1_def2_,1:sprite/iri1_majime_,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_si_ma_a1,sprite/iri1_majime_,5,100%,5:sprite/iri1_majime_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_si_ma_a2,sprite/iri1_majime2_,5,100%,5:sprite/iri1_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_si_wa_a1,sprite/iri1_warai_,16,70%,16:sprite/iri1_warai_,1:sprite/ri1_warai_a1_,1:sprite/tie_1_,1:sprite/re1a_warai_a1_,1:sprite/me1b_wink_a1_,1:sprite/iri1_def2_,1:sprite/sa1a_akireru_a1_,1:sprite/tie_3_,,,,,,,,,,,,,,,,,,,
,ir_yk_de_a1,sprite/iri3_def1_,4,100%,4:sprite/iri3_def1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_yk_de_a2,sprite/iri3_def2_,3,100%,3:sprite/iri3_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir_yk_wa_a1,sprite/iri3_warai_,3,100%,3:sprite/iri3_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,iri_majime2#,sprite/iri2_majime2_,1,100%,1:sprite/iri2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,kei_Def2,sprite/kei1_def2_,1,100%,1:sprite/kei1_def2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,kei_Nayamu,sprite/kei1_nayamu_,1,100%,1:sprite/kei1_nayamu_,,,,,,,,,,,,,,,,,,,,,,,,,,
,kei_Warai,sprite/kei1_warai_,2,100%,2:sprite/kei1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,kei_Warai#,sprite/kei2_warai_,2,100%,2:sprite/kei2_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,kei_majime2#,sprite/kei2_majime2_,1,100%,1:sprite/kei2_majime2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_AkuwaraiA2,sprite/me1a_akuwarai_a1_,1,100%,1:sprite/me1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_AkuwaraiB1,sprite/me1b_akuwarai_a1_,1,100%,1:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_TohohoA1#,sprite/me2_tohoho_a1_,1,100%,1:sprite/me2_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_TohohoB2,sprite/me1b_tohoho_a1_,1,100%,1:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_WinkA1,sprite/me1a_wink_a1_,1,100%,1:sprite/me1a_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_WinkA2,sprite/me1a_wink_a1_,1,100%,1:sprite/me1a_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_mi_aw_a1,sprite/me4_akuwarai_a1_,3,100%,3:sprite/me4_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_mi_fu_a2,sprite/me4_huteki_a1_,1,100%,1:sprite/me4_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_mi_wi_a1,sprite/me4_wink_a1_,1,100%,1:sprite/me4_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_mi_wi_a2,sprite/me4_wink_a1_,1,100%,1:sprite/me4_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_aw_a1,sprite/me1a_akuwarai_a1_,32,89%,32:sprite/me1a_akuwarai_a1_,1:sprite/me1b_ikari_a1_,1:sprite/me1b_huteki_a1_,1:sprite/me1b_akuwarai_a1_,1:sprite/flashback/me1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,
,me_se_aw_a2,sprite/me1a_akuwarai_a1_,3,75%,3:sprite/me1a_akuwarai_a1_,1:sprite/me1b_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_aw_b1,sprite/me1b_akuwarai_a1_,11,100%,11:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_aw_b2,sprite/me1b_akuwarai_a1_,11,100%,11:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_bi_a1,sprite/me1a_odoroki_a1_,9,41%,9:sprite/me1a_odoroki_a1_,2:sprite/ri1_warai_a1_,2:sprite/si1a_akuwarai_a1_,1:sprite/me1a_majime_a1_,1:sprite/re1a_warai_a1_,1:sprite/ri1_niko_a1_,1:sprite/re1a_komaru_a1_,1:sprite/re1b_def_b1_,1:sprite/ta1_warai_,1:sprite/tie_3_,1:sprite/me1a_ikari_a1_,1:sprite/iri1_majime2_,,,,,,,,,,,,,,,
,me_se_bi_a2,sprite/me1a_odoroki_a1_,4,80%,4:sprite/me1a_odoroki_a1_,1:sprite/flashback/me1a_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_bi_b1,sprite/me1b_odoroki_a1_,6,100%,6:sprite/me1b_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_bi_b2,sprite/me1b_odoroki_a1_,6,100%,6:sprite/me1b_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_de_a1,sprite/me1a_def_a1_,49,89%,49:sprite/me1a_def_a1_,2:sprite/re1a_def_a1_,2:sprite/me1a_majime_a1_,1:sprite/me1a_yowaki_a1_,1:sprite/me1a_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,
,me_se_de_a2,sprite/me1a_def_a1_,16,100%,16:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_de_b1,sprite/me1b_def_a1_,13,93%,13:sprite/me1b_def_a1_,1:sprite/me1a_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_de_b2,sprite/me1b_def_a1_,14,100%,14:sprite/me1b_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_fu_a1,sprite/me1a_huteki_a1_,9,100%,9:sprite/me1a_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_fu_a2,sprite/me1a_huteki_a1_,2,100%,2:sprite/me1a_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_fu_b1,sprite/me1b_huteki_a1_,3,100%,3:sprite/me1b_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_fu_b2,sprite/me1b_huteki_a1_,5,83%,5:sprite/me1b_huteki_a1_,1:sprite/me1b_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ha_a1,sprite/me1a_hau_a1_,2,100%,2:sprite/me1a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ha_b1,sprite/me1a_odoroki_a1_,1,100%,1:sprite/me1a_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_him_a1,sprite/me2_hig_maji_a1_,1,50%,1:sprite/me2_hig_maji_a1_,1:sprite/me1a_hig_maji_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ik_a1,sprite/me1a_ikari_a1_,2,100%,2:sprite/me1a_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ik_a2,sprite/me1a_ikari_a1_,3,25%,3:sprite/me1a_ikari_a1_,1:sprite/sa1a_hannbeso_a1_,1:sprite/sa1b_naku_b1_,1:sprite/re1b_def_b1_,1:sprite/me1a_warai_a1_,1:sprite/re1a_warai_a1_,1:sprite/me1b_warai_a1_,1:sprite/re1a_nande_a1_,1:sprite/re1b_bikkuri_b1_,1:sprite/me1b_odoroki_a1_,,,,,,,,,,,,,,,,,
,me_se_ik_b1,sprite/me1b_ikari_a1_,1,100%,1:sprite/me1b_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ik_b2,sprite/me1b_ikari_a1_,1,100%,1:sprite/me1b_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ma_a1,sprite/me1a_majime_a1_,9,82%,9:sprite/me1a_majime_a1_,1:sprite/me1a_tokui_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ma_a2,sprite/me1a_majime_a1_,6,86%,6:sprite/me1a_majime_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ma_b1,sprite/me1b_majime_a1_,8,89%,8:sprite/me1b_majime_a1_,1:sprite/me1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_ma_b2,sprite/me1b_majime_a1_,10,91%,10:sprite/me1b_majime_a1_,1:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_si_a1,sprite/me1a_sinmyou_a1_,1,50%,1:sprite/me1a_sinmyou_a1_,1:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_si_a2,sprite/me1a_sinmyou_a1_,2,100%,2:sprite/me1a_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_si_b1,sprite/me1b_sinmyou_a1_,1,50%,1:sprite/me1b_sinmyou_a1_,1:sprite/me1a_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_si_b2,sprite/me1b_sinmyou_a1_,2,67%,2:sprite/me1b_sinmyou_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_th_a1,sprite/me1a_tohoho_a1_,17,89%,17:sprite/me1a_tohoho_a1_,1:sprite/flashback/me1b_odoroki_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_th_a2,sprite/me1a_tohoho_a1_,9,75%,9:sprite/me1a_tohoho_a1_,1:sprite/me1a_odoroki_a1_,1:sprite/me1a_yowaki_a1_,1:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,
,me_se_th_b1,sprite/me1b_tohoho_a1_,9,100%,9:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_th_b2,sprite/me1b_tohoho_a1_,4,80%,4:sprite/me1b_tohoho_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_to_a1,sprite/me1a_tokui_a1_,16,100%,16:sprite/me1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_to_a2,sprite/me1a_tokui_a1_,3,100%,3:sprite/me1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_to_b1,sprite/me1b_tokui_a1_,4,100%,4:sprite/me1b_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_to_b2,sprite/me1b_tokui_a1_,6,86%,6:sprite/me1b_tokui_a1_,1:sprite/me1a_hig_maji_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wa_a1,sprite/me1a_warai_a1_,31,97%,31:sprite/me1a_warai_a1_,1:sprite/flashback/me1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wa_a2,sprite/me1a_warai_a1_,11,100%,11:sprite/me1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wa_b1,sprite/me1b_warai_a1_,10,100%,10:sprite/me1b_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wa_b2,sprite/me1b_warai_a1_,7,100%,7:sprite/me1b_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wi_a1,sprite/me1a_wink_a1_,46,81%,46:sprite/me1a_wink_a1_,3:sprite/sa1a_warai_a1_,3:sprite/me1b_wink_a1_,2:sprite/tomi1_def_,1:sprite/me1a_huteki_a1_,1:sprite/oisi1_1_,1:sprite/ri1_warai_a1_,,,,,,,,,,,,,,,,,,,,
,me_se_wi_a2,sprite/me1a_wink_a1_,42,93%,42:sprite/me1a_wink_a1_,1:sprite/ri1_def_a1_,1:sprite/me1a_def_a1_,1:sprite/me1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wi_b1,sprite/me1b_wink_a1_,17,100%,17:sprite/me1b_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_wi_b2,sprite/me1b_wink_a1_,23,96%,23:sprite/me1b_wink_a1_,1:sprite/me1b_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_yw_a1,sprite/me1a_yowaki_a1_,8,100%,8:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_yw_a2,sprite/me1a_yowaki_a1_,3,100%,3:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_yw_b1,sprite/me1b_yowaki_a1_,2,100%,2:sprite/me1b_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_se_yw_b2,sprite/me1b_yowaki_a1_,4,100%,4:sprite/me1b_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_aw_a1,sprite/me2_akuwarai_a1_,10,91%,10:sprite/me2_akuwarai_a1_,1:sprite/me2_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_aw_a2,sprite/me2_akuwarai_a1_,8,100%,8:sprite/me2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_bi_a1,sprite/me2_odoroki_a1_,9,100%,9:sprite/me2_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_bi_a2,sprite/me2_odoroki_a1_,11,92%,11:sprite/me2_odoroki_a1_,1:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_de_a1,sprite/me2_def_a1_,43,90%,43:sprite/me2_def_a1_,3:sprite/chibimion_def_,1:sprite/me2_tohoho_a1_,1:sprite/me2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,
,me_si_de_a2,sprite/me2_def_a1_,25,86%,25:sprite/me2_def_a1_,3:sprite/me2_majime_a1_,1:sprite/chibimion_def_,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_fu_a1,sprite/me2_huteki_a1_,8,100%,8:sprite/me2_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_fu_a2,sprite/me2_huteki_a1_,6,86%,6:sprite/me2_huteki_a1_,1:sprite/me2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_ha_a1,sprite/me2_hau_a1_,2,100%,2:sprite/me2_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_him_a1,sprite/me2_hig_maji_a1_,1,50%,1:sprite/me2_hig_maji_a1_,1:sprite/flashback/me2_hig_maji_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_him_a2,sprite/me2_hig_maji_a1_,1,100%,1:sprite/me2_hig_maji_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_ik_a1,sprite/me2_ikari_a1_,2,100%,2:sprite/me2_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_ik_a2,sprite/me2_ikari_a1_,1,50%,1:sprite/me2_ikari_a1_,1:sprite/re2b_hig_muhyou_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_ma_a1,sprite/me2_majime_a1_,19,90%,19:sprite/me2_majime_a1_,1:sprite/me2_ikari_a1_,1:sprite/chibimion_shinken_,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_ma_a2,sprite/me2_majime_a1_,12,100%,12:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_si_a1,sprite/me2_sinmyou_a1_,23,96%,23:sprite/me2_sinmyou_a1_,1:sprite/me2_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_si_a2,sprite/me2_sinmyou_a1_,4,57%,4:sprite/me2_sinmyou_a1_,1:sprite/me2_hau_a1_,1:sprite/me2_huteki_a1_,1:sprite/me2_def_a1_,,,,,,,,,,,,,,,,,,,,,,,
,me_si_th_a1,sprite/me2_tohoho_a1_,11,73%,11:sprite/me2_tohoho_a1_,1:sprite/flashback/me2_tohoho_a1_,1:sprite/me2_ikari_a1_,1:sprite/me2_odoroki_a1_,1:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,
,me_si_th_a2,sprite/me2_tohoho_a1_,10,71%,10:sprite/me2_tohoho_a1_,2:sprite/me2_odoroki_a1_,1:sprite/me2_huteki_a1_,1:sprite/me2_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,
,me_si_to_a1,sprite/me2_tokui_a1_,11,92%,11:sprite/me2_tokui_a1_,1:sprite/flashback/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_to_a2,sprite/me2_tokui_a1_,9,90%,9:sprite/me2_tokui_a1_,1:sprite/me2_hig_maji_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_wa_a1,sprite/me2_warai_a1_,28,90%,28:sprite/me2_warai_a1_,2:sprite/flashback/me2_warai_a1_,1:sprite/chibimion_warai_,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_wa_a2,sprite/me2_warai_a1_,17,94%,17:sprite/me2_warai_a1_,1:sprite/chibimion_warai_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_wi_a1,sprite/me2_wink_a1_,31,91%,31:sprite/me2_wink_a1_,2:sprite/chibimion_wink_,1:sprite/flashback/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_wi_a2,sprite/me2_wink_a1_,40,98%,40:sprite/me2_wink_a1_,1:sprite/sa2a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_yw_a1,sprite/me2_yowaki_a1_,3,100%,3:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_si_yw_a2,sprite/me2_yowaki_a1_,1,100%,1:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_aw_a1,sprite/me3_akuwarai_a1_,2,100%,2:sprite/me3_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_aw_a2,sprite/me3_akuwarai_a1_,3,100%,3:sprite/me3_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_de_a1,sprite/me3_def_a1_,6,100%,6:sprite/me3_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_de_a2,sprite/me3_def_a1_,1,100%,1:sprite/me3_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_fu_a1,sprite/me3_huteki_a1_,1,100%,1:sprite/me3_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_fu_a2,sprite/me3_huteki_a1_,1,100%,1:sprite/me3_huteki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_th_a1,sprite/me3_tohoho_a1_,2,100%,2:sprite/me3_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_to_a1,sprite/me3_tokui_a1_,1,100%,1:sprite/me3_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_to_a2,sprite/me3_tokui_a1_,2,100%,2:sprite/me3_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_wa_a2,sprite/me3_warai_a1_,5,100%,5:sprite/me3_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,me_ta_wi_a1,sprite/me3_wink_a1_,4,100%,4:sprite/me3_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,no_data,sprite/kuma_def_,3,10%,3:sprite/kuma_def_,2:sprite/sato1_komaru_,1:sprite/iri1_majime_,1:sprite/oryou_sakebi_,1:sprite/oryou_def_,1:sprite/oisi1_2_,1:sprite/oisi1_5_,1:sprite/kei2_komaru_,1:sprite/kei1_nayamu_,1:sprite/ri1_def_a1_,1:transparent,1:sprite/kei1_komaru_,1:sprite/tomita2_odoroki_,1:sprite/tomita2_warai_,1:sprite/re2a_kaii_a1_,1:sprite/kameda1b_odoroki_,1:sprite/ta1_def_,1:sprite/tie_1_,1:sprite/re2a_bikkuri_a1_,1:sprite/renasen2_ikakaku_,1:sprite/renasen1_def_,1:sprite/sa2b_def_b1_,1:sprite/me2_tohoho_a1_,1:sprite/ta2_def_,1:sprite/ki_def_,1:sprite/oko_def_,1:sprite/aks2_shinken_
,oi_si_aw_a1,sprite/oisi1_5_,13,100%,13:sprite/oisi1_5_,,,,,,,,,,,,,,,,,,,,,,,,,,
,oi_si_de_a1,sprite/oisi1_1_,84,99%,84:sprite/oisi1_1_,1:sprite/oisi1_5_,,,,,,,,,,,,,,,,,,,,,,,,,
,oi_si_de_a2,sprite/oisi1_4_,23,100%,23:sprite/oisi1_4_,,,,,,,,,,,,,,,,,,,,,,,,,,
,oi_si_ma_a1,sprite/oisi1_3_,3,100%,3:sprite/oisi1_3_,,,,,,,,,,,,,,,,,,,,,,,,,,
