ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Me_IkariA1#,sprite/me2_ikari_a1_,3,100%,3:sprite/me2_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_IkariA2,sprite/me1a_ikari_a1_,1,100%,1:sprite/me1a_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_IkariA2&,sprite/me3_ikari_a1_,1,100%,1:sprite/me3_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_IkariB1,sprite/me1b_majime_a1_,1,100%,1:sprite/me1b_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_IkariB2,sprite/me1b_ikari_a1_,1,100%,1:sprite/me1b_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeA1,sprite/me1a_majime_a1_,12,75%,12:sprite/me1a_majime_a1_,2:sprite/me2_majime_a1_,1:sprite/me1a_def_a1_,1:sprite/re1b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeA1#,sprite/me2_majime_a1_,12,100%,12:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeA1&,sprite/me3_majime_a1_,1,100%,1:sprite/me3_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeA2,sprite/me1a_majime_a1_,15,83%,15:sprite/me1a_majime_a1_,3:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeA2#,sprite/me2_majime_a1_,7,88%,7:sprite/me2_majime_a1_,1:sprite/kei2_nayamu_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeA2&,sprite/me3_majime_a1_,1,100%,1:sprite/me3_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeB1,sprite/me1b_majime_a1_,6,86%,6:sprite/me1b_majime_a1_,1:sprite/me1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_MajimeB2,sprite/me1b_majime_a1_,12,80%,12:sprite/me1b_majime_a1_,3:sprite/me1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiA1,sprite/me1a_odoroki_a1_,11,79%,11:sprite/me1a_odoroki_a1_,3:sprite/me2_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiA1#,sprite/me2_odoroki_a1_,17,85%,17:sprite/me2_odoroki_a1_,1:sprite/me2_warai_a1_,1:sprite/me2_ikari_a1_,1:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiA1&,sprite/me3_odoroki_a1_,5,100%,5:sprite/me3_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiA2,sprite/me1a_odoroki_a1_,3,75%,3:sprite/me1a_odoroki_a1_,1:sprite/me2_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiA2#,sprite/me2_odoroki_a1_,10,100%,10:sprite/me2_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiB1,sprite/me1b_odoroki_a1_,8,89%,8:sprite/me1b_odoroki_a1_,1:sprite/me1a_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_OdorokiB2,sprite/me1b_odoroki_a1_,6,100%,6:sprite/me1b_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_SinmyouA1,sprite/me1a_sinmyou_a1_,2,100%,2:sprite/me1a_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_SinmyouA1#,sprite/me2_sinmyou_a1_,5,83%,5:sprite/me2_sinmyou_a1_,1:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_SinmyouA2,sprite/me1a_sinmyou_a1_,1,100%,1:sprite/me1a_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
