ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_mina_020.txt,jt1_01,haikei,1,100%,1:haikei,,,,,,,,,,,,,,,,
tata_013_02.txt,jt2,bg_217,6,100%,6:bg_217,,,,,,,,,,,,,,,,
_mina_004.txt,jt2_01,bg_217,2,67%,2:bg_217,1:bg_216,,,,,,,,,,,,,,,
_tsum_022.txt,juku1_01,bg_083,1,50%,1:bg_083,1:Juku1,,,,,,,,,,,,,,,
_mina_028.txt,jy1,bg_244,4,57%,4:bg_244,3:JY1,,,,,,,,,,,,,,,
_mina_020.txt,jy2,bg_245,6,75%,6:bg_245,2:JY2,,,,,,,,,,,,,,,
_mina_016.txt,jys1,JS1,10,48%,10:JS1,9:JS2,1:bg_074,1:JOK2,,,,,,,,,,,,,
_meak_tips_14.txt,jysa1,bg_261,8,80%,8:bg_261,2:JYSA1,,,,,,,,,,,,,,,
_mina_021.txt,jyt1,bg_262,3,50%,3:bg_262,1:JYT1,1:Hi1,1:Hi2,,,,,,,,,,,,,
_mina_ep.txt,jyt2,bg_263,5,62%,5:bg_263,2:JYT2,1:bg_067,,,,,,,,,,,,,,
_meak_005.txt,k_kouen1,Kouen,1,100%,1:Kouen,,,,,,,,,,,,,,,,
_meak_005.txt,k_kouen1_01,Kouen,1,100%,1:Kouen,,,,,,,,,,,,,,,,
_mina_022.txt,ka1_01,Ka2,6,60%,6:Ka2,4:Ka1,,,,,,,,,,,,,,,
_mina_013.txt,ka4,Ka1,6,67%,6:Ka1,3:Ka2,,,,,,,,,,,,,,,
_tsum_010.txt,kawa1,bg_086,2,25%,2:bg_086,2:Kawa1,1:bg_006,1:bg_087,1:Ji2,1:kawa5,,,,,,,,,,,
hima_002.txt,kawa4,bg_005,1,50%,1:bg_005,1:bg_048,,,,,,,,,,,,,,,
_meak_ep_01.txt,ke1,ke1,4,57%,4:ke1,1:bg_100,1:bg_091,1:Sora,,,,,,,,,,,,,
_meak_012.txt,ke1_01,ke1,1,100%,1:ke1,,,,,,,,,,,,,,,,
_mina_025.txt,ke2,bg_172,3,50%,3:bg_172,1:bg_173,1:Mati_Ji4,1:Ke2,,,,,,,,,,,,,
_mina_ep.txt,ke5,Ke5,19,63%,19:Ke5,2:bg_223,2:Ke6,1:bg_100,1:bg_192,1:Tosyo8,1:Ka5,1:Ka2,1:Ka3,1:Ka4,,,,,,,
_meak_tips_22.txt,ke_ky1,bg_111,3,30%,3:bg_111,3:bg_113,2:Ke_Ky1,1:Ke_Ky3,1:Ke_Ky2,,,,,,,,,,,,
_mina_op.txt,ke_ky2,Tosyo7,7,44%,7:Tosyo7,4:Tosyo8,2:bg_112,2:bg_229,1:Ke_Ky2,,,,,,,,,,,,
_mina_027.txt,ke_s2,bg_192,15,43%,15:bg_192,8:bg_193,7:Ke_S1,4:Ke_S2,1:bg_100,,,,,,,,,,,,
staffroom.txt,ke_shiryou1_02,DSC00038,-1,0%,,,,,,,,,,,,,,,,,
