last_file_found,ps3_name,auto,naegles,final_choice,status,ps3_path,ryukishi_path
_mina_003_1.txt,ma_g1,ma_g1,ma_g1,ma_g1,IDENTICAL,external\ps3\ep1\background\ma_g1.png,external\ryukishi\ep7\CG\ma_g1.png
wata_003.txt,ma_g1_01,ma_g1,ma_g1,ma_g1,IDENTICAL,external\ps3\ep2\background\ma_g1_01.png,external\ryukishi\ep7\CG\ma_g1.png
_tsum_022.txt,ma_g2,ma_g2,ma_g2,ma_g2,IDENTICAL,external\ps3\ep1\background\ma_g2.png,external\ryukishi\ep6\CG\ma_g2.png
_mina_011_2.txt,ma_g3,ma_g3,NO_MATCH,ma_g3,AUTOMATIC,external\ps3\ep6\background\ma_g3.png,external\ryukishi\ep6\CG\ma_g3.png
_tsum_019.txt,ma_g3_01,ma_g3,ma_g3,ma_g3,IDENTICAL,external\ps3\ep1\background\ma_g3_01.png,external\ryukishi\ep6\CG\ma_g3.png
onik_014_02.txt,ma_g3_02,ma2,ma_g3,ma2,CONTRADICTORY,external\ps3\ep1\background\ma_g3_02.png,external\ryukishi\ep5\CG\ma2.png
_tsum_022.txt,ma_j3,ma_j1,ma_j2,ma_j3,CONTRADICTORY,external\ps3\ep1\background\ma_j3.png,external\ryukishi\ep6\CG\ma_j3.png
_tsum_023_1.txt,ma_j3_01,ma_j1,ma_j2,ma_j3,CONTRADICTORY,external\ps3\ep1\background\ma_j3_01.png,external\ryukishi\ep6\CG\ma_j3.png
tata_009_02.txt,ma_j3_03,NO_MATCH,ma_j2,ma_j3,NAEGLES,external\ps3\ep2\background\ma_j3_03.png,external\ryukishi\ep6\CG\ma_j3.png
wata_003.txt,ma_j3_05,ma_j2,ma_j2,ma_j3,IDENTICAL,external\ps3\ep1\background\ma_j3_05.png,external\ryukishi\ep6\CG\ma_j3.png
_mina_011_2.txt,ma_s1,ribing1,bg_210,ma_s1,CONTRADICTORY,external\ps3\ep1\background\ma_s1.png,external\ryukishi\ep6\CG\ma_s1.png
_tsum_019.txt,ma_s1_01,ma_s1,NO_MATCH,ma_s1,AUTOMATIC,external\ps3\ep6\background\ma_s1_01.png,external\ryukishi\ep6\CG\ma_s1.png
unknown,mangagamer,NO_MATCH,mangagamer,mangagamer,NAEGLES,external\ps3\ep1\mangagamer.png,external\ryukishi\ep1\CG\mangagamer.png
unknown,mask1013,NO_MATCH,mask1013,mask1013,NAEGLES,external\ps3\ep1\mask1013.png,external\ryukishi\ep1\CG\mask1013.png
unknown,mask1014,NO_MATCH,mask1014,mask1014,NAEGLES,external\ps3\ep4\mask1014.png,external\ryukishi\ep4\CG\mask1014.png
unknown,mask1020,NO_MATCH,mask1020,mask1020,NAEGLES,external\ps3\ep4\mask1020.png,external\ryukishi\ep4\CG\mask1020.png
unknown,mask_1900,NO_MATCH,mask_1900,mask_1900,NAEGLES,external\ps3\ep1\mask_1900.png,external\ryukishi\ep1\CG\mask_1900.png
_mats_010.txt,mati12,mati12,mati12,mati12,IDENTICAL,external\ps3\ep2\background\mati12.png,external\ryukishi\ep6\CG\mati12.png
_mina_019.txt,mati2,mati2,mati2,mati2,IDENTICAL,external\ps3\ep1\background\mati2.png,external\ryukishi\ep5\CG\mati2.png
_mina_008.txt,mati2_01,mati6,mati2,mati2,NAEGLES,external\ps3\ep5\background\mati2_01.png,external\ryukishi\ep5\CG\mati2.png
_kakera42.txt,mati2_04,mati14,mati2,mati2,NAEGLES,external\ps3\ep8\background\mati2_04.png,external\ryukishi\ep5\CG\mati2.png
_mats_017.txt,mati3,mati3,mati3,mati3,IDENTICAL,external\ps3\ep2\background\mati3.png,external\ryukishi\ep5\CG\mati3.png
_mina_008.txt,mati3_01,mati3,NO_MATCH,mati3,AUTOMATIC,external\ps3\ep5\background\mati3_01.png,external\ryukishi\ep5\CG\mati3.png
_kakera42.txt,mati3_04,mati9,mati3,mati3,NAEGLES,external\ps3\ep8\background\mati3_04.png,external\ryukishi\ep5\CG\mati3.png
_mats_020.txt,mati4,mati4,mati4,mati4,IDENTICAL,external\ps3\ep2\background\mati4.png,external\ryukishi\ep5\CG\mati4.png
_mina_012.txt,mati4_01,kouen,mati4,mati4,NAEGLES,external\ps3\ep7\background\mati4_01.png,external\ryukishi\ep5\CG\mati4.png
_kakera42.txt,mati4_04,mati15,mati4,mati4,NAEGLES,external\ps3\ep8\background\mati4_04.png,external\ryukishi\ep5\CG\mati4.png
_mats_012.txt,mati7,bg_237,mati7,mati7,CONTRADICTORY,external\ps3\ep1\background\mati7.png,external\ryukishi\ep7\CG\mati7.png
_mina_019.txt,mati_ji1,mati_ji2,mati_ji1,mati_ji1,NAEGLES,external\ps3\ep7\background\mati_ji1.png,external\ryukishi\ep7\CG\mati_ji1.png
_mats_020.txt,mati_o1,mati_o1,mati_o1,mati_o1,IDENTICAL,external\ps3\ep2\background\mati_o1.png,external\ryukishi\ep5\CG\mati_o1.png
_mina_008.txt,mati_o1_01,mati_o1,NO_MATCH,mati_o1,AUTOMATIC,external\ps3\ep7\background\mati_o1_01.png,external\ryukishi\ep5\CG\mati_o1.png
_mina_008.txt,mati_o2,mati_o2,bg_155,mati_o2,CONTRADICTORY,external\ps3\ep2\background\mati_o2.png,external\ryukishi\ep5\CG\mati_o2.png
_mina_008.txt,mati_o4,mati_o5,mati_o4,mati_o4,CONTRADICTORY,external\ps3\ep2\background\mati_o4.png,external\ryukishi\ep5\CG\mati_o4.png
_kakera46.txt,mati_o6,mati_o6,mati_o6,mati_o6,IDENTICAL,external\ps3\ep2\background\mati_o6.png,external\ryukishi\ep7\CG\mati_o6.png
_mats_024.txt,mo1,mo1,mo1,mo1,IDENTICAL,external\ps3\ep1\background\mo1.png,external\ryukishi\ep6\CG\mo1.png
